---------------------------------
| rollout/           |          |
|    fps                  | 258         |
|    iterations           | 16          |
|    time_elapsed         | 126         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.014752056 |
|    clip_fraction        | 0.185       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.925       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0653     |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0242     |
|    std                  | 0.969       |
|    value_loss           | 0.000154    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 280        |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 259        |
|    iterations           | 17         |
|    time_elapsed         | 134        |
|    total_timesteps      | 34816      |
| train/                  |            |
|    approx_kl            | 0.01345202 |
|    clip_fraction        | 0.142      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.5      |
|    explained_variance   | 0.914      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.031     |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.0215    |
|    std                  | 0.968      |
|    value_loss           | 0.000134   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 259         |
|    iterations           | 18          |
|    time_elapsed         | 142         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.012994608 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.907       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0571     |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0206     |
|    std                  | 0.973       |
|    value_loss           | 0.000112    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 259         |
|    iterations           | 19          |
|    time_elapsed         | 149         |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.013138218 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.905       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0348     |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0208     |
|    std                  | 0.972       |
|    value_loss           | 0.000102    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 280        |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 260        |
|    iterations           | 20         |
|    time_elapsed         | 157        |
|    total_timesteps      | 40960      |
| train/                  |            |
|    approx_kl            | 0.01320805 |
|    clip_fraction        | 0.185      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.5      |
|    explained_variance   | 0.868      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0319    |
|    n_updates            | 190        |
|    policy_gradient_loss | -0.0215    |
|    std                  | 0.972      |
|    value_loss           | 9.23e-05   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 260         |
|    iterations           | 21          |
|    time_elapsed         | 165         |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.014140204 |
|    clip_fraction        | 0.167       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.839       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0427     |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.023      |
|    std                  | 0.967       |
|    value_loss           | 8.74e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 261         |
|    iterations           | 22          |
|    time_elapsed         | 172         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.013952168 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.8         |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0158     |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0219     |
|    std                  | 0.968       |
|    value_loss           | 5.1e-05     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 262         |
|    iterations           | 23          |
|    time_elapsed         | 179         |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.012178485 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.763       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00473    |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0174     |
|    std                  | 0.971       |
|    value_loss           | 4.86e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 263         |
|    iterations           | 24          |
|    time_elapsed         | 186         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.014899269 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.671       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0184     |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0223     |
|    std                  | 0.969       |
|    value_loss           | 6.05e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 263         |
|    iterations           | 25          |
|    time_elapsed         | 194         |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.015091234 |
|    clip_fraction        | 0.17        |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.79        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0486     |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0269     |
|    std                  | 0.968       |
|    value_loss           | 7.88e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 263         |
|    iterations           | 26          |
|    time_elapsed         | 202         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.012896304 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.712       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0269     |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0233     |
|    std                  | 0.965       |
|    value_loss           | 6.46e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 263         |
|    iterations           | 27          |
|    time_elapsed         | 209         |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.011665573 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.4       |
|    explained_variance   | 0.629       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0115     |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0202     |
|    std                  | 0.964       |
|    value_loss           | 4.44e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 264         |
|    iterations           | 28          |
|    time_elapsed         | 217         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.015258862 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.4       |
|    explained_variance   | 0.819       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0489     |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0181     |
|    std                  | 0.962       |
|    value_loss           | 2.88e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 264         |
|    iterations           | 29          |
|    time_elapsed         | 224         |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.013432233 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.4       |
|    explained_variance   | 0.824       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0378     |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.024      |
|    std                  | 0.96        |
|    value_loss           | 2.88e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 265         |
|    iterations           | 30          |
|    time_elapsed         | 231         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.013368188 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.4       |
|    explained_variance   | 0.772       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0209     |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0165     |
|    std                  | 0.96        |
|    value_loss           | 4.75e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 266         |
|    iterations           | 31          |
|    time_elapsed         | 238         |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.011818161 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.4       |
|    explained_variance   | 0.804       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0104     |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0157     |
|    std                  | 0.957       |
|    value_loss           | 1.97e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 266         |
|    iterations           | 32          |
|    time_elapsed         | 246         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.013000769 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.3       |
|    explained_variance   | 0.791       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.031      |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0193     |
|    std                  | 0.948       |
|    value_loss           | 2.1e-05     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 266         |
|    iterations           | 33          |
|    time_elapsed         | 253         |
|    total_timesteps      | 67584       |
| train/                  |             |
|    approx_kl            | 0.013602745 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.3       |
|    explained_variance   | 0.861       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0247     |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0231     |
|    std                  | 0.944       |
|    value_loss           | 2.06e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 266         |
|    iterations           | 34          |
|    time_elapsed         | 261         |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.012887036 |
|    clip_fraction        | 0.167       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.2       |
|    explained_variance   | 0.889       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0405     |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0223     |
|    std                  | 0.941       |
|    value_loss           | 2.27e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 266         |
|    iterations           | 35          |
|    time_elapsed         | 269         |
|    total_timesteps      | 71680       |
| train/                  |             |
|    approx_kl            | 0.012400418 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.2       |
|    explained_variance   | 0.777       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0296     |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0192     |
|    std                  | 0.938       |
|    value_loss           | 7.11e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 266         |
|    iterations           | 36          |
|    time_elapsed         | 277         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.015628971 |
|    clip_fraction        | 0.194       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.2       |
|    explained_variance   | 0.947       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0367     |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0226     |
|    std                  | 0.934       |
|    value_loss           | 1.92e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 266         |
|    iterations           | 37          |
|    time_elapsed         | 284         |
|    total_timesteps      | 75776       |
| train/                  |             |
|    approx_kl            | 0.015828565 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.1       |
|    explained_variance   | 0.965       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0217     |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0241     |
|    std                  | 0.929       |
|    value_loss           | 1.94e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 266         |
|    iterations           | 38          |
|    time_elapsed         | 292         |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.014236267 |
|    clip_fraction        | 0.167       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.1       |
|    explained_variance   | 0.929       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0198     |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0208     |
|    std                  | 0.927       |
|    value_loss           | 3.07e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 266         |
|    iterations           | 39          |
|    time_elapsed         | 299         |
|    total_timesteps      | 79872       |
| train/                  |             |
|    approx_kl            | 0.016316073 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12         |
|    explained_variance   | 0.959       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0619     |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0221     |
|    std                  | 0.919       |
|    value_loss           | 2.34e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 266         |
|    iterations           | 40          |
|    time_elapsed         | 307         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.013393181 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12         |
|    explained_variance   | 0.964       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00511    |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0192     |
|    std                  | 0.917       |
|    value_loss           | 2.77e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 266         |
|    iterations           | 41          |
|    time_elapsed         | 314         |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.012732862 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12         |
|    explained_variance   | 0.958       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0255     |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0202     |
|    std                  | 0.918       |
|    value_loss           | 1.64e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 266         |
|    iterations           | 42          |
|    time_elapsed         | 322         |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.016099583 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12         |
|    explained_variance   | 0.963       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00304    |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0189     |
|    std                  | 0.912       |
|    value_loss           | 3.04e-05    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 280        |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 267        |
|    iterations           | 43         |
|    time_elapsed         | 329        |
|    total_timesteps      | 88064      |
| train/                  |            |
|    approx_kl            | 0.01598914 |
|    clip_fraction        | 0.189      |
|    clip_range           | 0.2        |
|    entropy_loss         | -11.9      |
|    explained_variance   | 0.967      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0322    |
|    n_updates            | 420        |
|    policy_gradient_loss | -0.0217    |
|    std                  | 0.913      |
|    value_loss           | 4.1e-05    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 267         |
|    iterations           | 44          |
|    time_elapsed         | 336         |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.016399454 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.9       |
|    explained_variance   | 0.978       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0304     |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.0229     |
|    std                  | 0.905       |
|    value_loss           | 4.59e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 267         |
|    iterations           | 45          |
|    time_elapsed         | 343         |
|    total_timesteps      | 92160       |
| train/                  |             |
|    approx_kl            | 0.015873516 |
|    clip_fraction        | 0.197       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.8       |
|    explained_variance   | 0.985       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0347     |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.0256     |
|    std                  | 0.9         |
|    value_loss           | 4.47e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 268         |
|    iterations           | 46          |
|    time_elapsed         | 351         |
|    total_timesteps      | 94208       |
| train/                  |             |
|    approx_kl            | 0.017688103 |
